dataset,k,metric,threshold,bow,classifier,acc
abstract,50,sil,0.1,bm25,xgc,0.7483333333333333
abstract,50,sil,0.1,bm25,nnc,0.755
abstract,50,eucl,0.2,tfidf,rfc,0.7133333333333334
abstract,50,eucl,0.2,tfidf,xgc,0.74
abstract,50,eucl,0.2,tfidf,nnc,0.73
abstract,50,eucl,0.2,count,rfc,0.74
abstract,50,eucl,0.2,count,xgc,0.775
abstract,50,eucl,0.2,count,nnc,0.29833333333333334
abstract,50,eucl,0.2,bm25,rfc,0.7116666666666667
abstract,50,eucl,0.2,bm25,xgc,0.755
abstract,50,eucl,0.2,bm25,nnc,0.7716666666666666
abstract,50,sil,0.2,tfidf,rfc,0.7083333333333334
abstract,50,sil,0.2,tfidf,xgc,0.7633333333333333
abstract,50,sil,0.2,tfidf,nnc,0.7866666666666666
abstract,50,sil,0.2,count,rfc,0.7283333333333334
abstract,50,sil,0.2,count,xgc,0.7766666666666666
abstract,50,sil,0.2,count,nnc,0.2683333333333333
abstract,50,sil,0.2,bm25,rfc,0.715
abstract,50,sil,0.2,bm25,xgc,0.7683333333333333
abstract,50,sil,0.2,bm25,nnc,0.7766666666666666
abstract,50,eucl,0.3,tfidf,rfc,0.6983333333333334
abstract,50,eucl,0.3,tfidf,xgc,0.765
abstract,50,eucl,0.3,tfidf,nnc,0.7733333333333333
abstract,50,eucl,0.3,count,rfc,0.715
abstract,50,eucl,0.3,count,xgc,0.7616666666666667
abstract,50,eucl,0.3,count,nnc,0.36666666666666664
abstract,50,eucl,0.3,bm25,rfc,0.7216666666666667
abstract,50,eucl,0.3,bm25,xgc,0.7516666666666667
abstract,50,eucl,0.3,bm25,nnc,0.7583333333333333
abstract,50,sil,0.3,tfidf,rfc,0.7116666666666667
abstract,50,sil,0.3,tfidf,xgc,0.765
abstract,50,sil,0.3,tfidf,nnc,0.7883333333333333
abstract,50,sil,0.3,count,rfc,0.71
abstract,50,sil,0.3,count,xgc,0.7583333333333333
abstract,50,sil,0.3,count,nnc,0.36666666666666664
abstract,50,sil,0.3,bm25,rfc,0.71
abstract,50,sil,0.3,bm25,xgc,0.7466666666666667
abstract,50,sil,0.3,bm25,nnc,0.7433333333333333
abstract,50,eucl,0.4,tfidf,rfc,0.7133333333333334
abstract,50,eucl,0.4,tfidf,xgc,0.7466666666666667
abstract,50,eucl,0.4,tfidf,nnc,0.7666666666666667
abstract,50,eucl,0.4,count,rfc,0.7466666666666667
abstract,50,eucl,0.4,count,xgc,0.7833333333333333
abstract,50,eucl,0.4,count,nnc,0.29333333333333333
abstract,50,eucl,0.4,bm25,rfc,0.71
abstract,50,eucl,0.4,bm25,xgc,0.7533333333333333
abstract,50,eucl,0.4,bm25,nnc,0.7516666666666667
abstract,50,sil,0.4,tfidf,rfc,0.6916666666666667
abstract,50,sil,0.4,tfidf,xgc,0.755
abstract,50,sil,0.4,tfidf,nnc,0.7666666666666667
abstract,50,sil,0.4,count,rfc,0.7183333333333334
abstract,50,sil,0.4,count,xgc,0.74
abstract,50,sil,0.4,count,nnc,0.23666666666666666
abstract,50,sil,0.4,bm25,rfc,0.7333333333333333
abstract,50,sil,0.4,bm25,xgc,0.76
abstract,50,sil,0.4,bm25,nnc,0.7683333333333333
abstract,50,eucl,0.5,tfidf,rfc,0.73
abstract,50,eucl,0.5,tfidf,xgc,0.7716666666666666
abstract,50,eucl,0.5,tfidf,nnc,0.7716666666666666
abstract,50,eucl,0.5,count,rfc,0.76
abstract,50,eucl,0.5,count,xgc,0.78
abstract,50,eucl,0.5,count,nnc,0.37166666666666665
abstract,50,eucl,0.5,bm25,rfc,0.7033333333333334
abstract,50,eucl,0.5,bm25,xgc,0.7633333333333333
abstract,50,eucl,0.5,bm25,nnc,0.7366666666666667
abstract,50,sil,0.5,tfidf,rfc,0.72
abstract,50,sil,0.5,tfidf,xgc,0.7666666666666667
abstract,50,sil,0.5,tfidf,nnc,0.79
abstract,50,sil,0.5,count,rfc,0.7266666666666667
abstract,50,sil,0.5,count,xgc,0.7733333333333333
abstract,50,sil,0.5,count,nnc,0.24833333333333332
abstract,50,sil,0.5,bm25,rfc,0.7416666666666667
abstract,50,sil,0.5,bm25,xgc,0.7733333333333333
abstract,50,sil,0.5,bm25,nnc,0.7583333333333333
abstract,0,_,0.0,tfidf,rfc,0.6033333333333334
abstract,0,_,0.0,tfidf,xgc,0.6283333333333333
abstract,0,_,0.0,tfidf,nnc,0.6483333333333333
abstract,0,_,0.0,count,rfc,0.5733333333333334
abstract,0,_,0.0,count,xgc,0.6166666666666667
abstract,0,_,0.0,count,nnc,0.6316666666666667
abstract,0,_,0.0,bm25,rfc,0.5683333333333334
abstract,0,_,0.0,bm25,xgc,0.635
abstract,0,_,0.0,bm25,nnc,0.63
title,10,eucl,0.1,tfidf,rfc,0.5033333333333333
title,10,eucl,0.1,tfidf,xgc,0.615
title,10,eucl,0.1,tfidf,nnc,0.6766666666666666
title,10,eucl,0.1,count,rfc,0.53
title,10,eucl,0.1,count,xgc,0.645
title,10,eucl,0.1,count,nnc,0.6733333333333333
title,10,eucl,0.1,bm25,rfc,0.535
title,10,eucl,0.1,bm25,xgc,0.6566666666666666
title,10,eucl,0.1,bm25,nnc,0.675
title,10,sil,0.1,tfidf,rfc,0.4666666666666667
title,10,sil,0.1,tfidf,xgc,0.6116666666666667
title,10,sil,0.1,tfidf,nnc,0.6733333333333333
title,10,sil,0.1,count,rfc,0.5283333333333333
title,10,sil,0.1,count,xgc,0.62
title,10,sil,0.1,count,nnc,0.665
title,10,sil,0.1,bm25,rfc,0.5133333333333333
title,10,sil,0.1,bm25,xgc,0.6433333333333333
title,10,sil,0.1,bm25,nnc,0.6833333333333333
title,10,eucl,0.2,tfidf,rfc,0.5316666666666666
title,10,eucl,0.2,tfidf,xgc,0.6466666666666666
title,10,eucl,0.2,tfidf,nnc,0.68
