dataset,k,metric,threshold,bow,classifier,acc
bitext,25,sil,0.3,tfidf,xgc,0.9818899465985604
bitext,25,sil,0.3,tfidf,nnc,0.977246343162294
bitext,25,sil,0.3,count,rfc,0.7752495936846994
bitext,25,sil,0.3,count,xgc,0.9839795681448804
bitext,25,sil,0.3,count,nnc,0.9784072440213606
bitext,25,sil,0.3,bm25,rfc,0.7411191084281402
bitext,25,sil,0.3,bm25,xgc,0.9839795681448804
bitext,25,sil,0.3,bm25,nnc,0.975853262131414
bitext,25,eucl,0.4,tfidf,rfc,0.75296029719062
bitext,25,eucl,0.4,tfidf,xgc,0.9774785233341072
bitext,25,eucl,0.4,tfidf,nnc,0.9721383793824008
bitext,25,eucl,0.4,count,rfc,0.7798931971209658
bitext,25,eucl,0.4,count,xgc,0.9800325052240538
bitext,25,eucl,0.4,count,nnc,0.9742280009287206
bitext,25,eucl,0.4,bm25,rfc,0.7476201532389134
bitext,25,eucl,0.4,bm25,xgc,0.9767819828186672
bitext,25,eucl,0.4,bm25,nnc,0.9695843974924542
bitext,25,sil,0.4,tfidf,rfc,0.7355467843046204
bitext,25,sil,0.4,tfidf,xgc,0.9788716043649872
bitext,25,sil,0.4,tfidf,nnc,0.9749245414441606
bitext,25,sil,0.4,count,rfc,0.7852333410726724
bitext,25,sil,0.4,count,xgc,0.9814255862549338
bitext,25,sil,0.4,count,nnc,0.975853262131414
bitext,25,sil,0.4,bm25,rfc,0.7299744601811006
bitext,25,sil,0.4,bm25,xgc,0.9809612259113072
bitext,25,sil,0.4,bm25,nnc,0.9798003250522406
bitext,25,eucl,0.5,tfidf,rfc,0.6591595077780358
bitext,25,eucl,0.5,tfidf,xgc,0.913396795913629
bitext,25,eucl,0.5,tfidf,nnc,0.909914093336429
bitext,25,eucl,0.5,count,rfc,0.6837706059902484
bitext,25,eucl,0.5,count,xgc,0.916182957975389
bitext,25,eucl,0.5,count,nnc,0.912700255398189
bitext,25,eucl,0.5,bm25,rfc,0.6584629672625958
bitext,25,eucl,0.5,bm25,xgc,0.9131646157418156
