dataset,k,metric,threshold,bow,classifier,acc
bitext,50,eucl,0.2,tfidf,rfc,0.78
bitext,50,eucl,0.2,tfidf,xgc,0.97
bitext,50,eucl,0.2,tfidf,nnc,0.9833333333333333
bitext,50,eucl,0.2,count,rfc,0.8283333333333334
bitext,50,eucl,0.2,count,xgc,0.97
bitext,50,eucl,0.2,count,nnc,0.9833333333333333
bitext,50,eucl,0.2,bm25,rfc,0.7816666666666666
bitext,50,eucl,0.2,bm25,xgc,0.9683333333333334
bitext,50,eucl,0.2,bm25,nnc,0.9866666666666667
bitext,50,sil,0.2,tfidf,rfc,0.7316666666666667
bitext,50,sil,0.2,tfidf,xgc,0.9733333333333334
bitext,50,sil,0.2,tfidf,nnc,0.99
bitext,50,sil,0.2,count,rfc,0.7933333333333333
bitext,50,sil,0.2,count,xgc,0.975
bitext,50,sil,0.2,count,nnc,0.99
bitext,50,sil,0.2,bm25,rfc,0.7933333333333333
bitext,50,sil,0.2,bm25,xgc,0.9766666666666667
bitext,50,sil,0.2,bm25,nnc,0.9966666666666667
bitext,50,eucl,0.3,tfidf,rfc,0.68
bitext,50,eucl,0.3,tfidf,xgc,0.9
bitext,50,eucl,0.3,tfidf,nnc,0.9083333333333333
bitext,50,eucl,0.3,count,rfc,0.7266666666666667
bitext,50,eucl,0.3,count,xgc,0.9266666666666666
bitext,50,eucl,0.3,count,nnc,0.9133333333333333
bitext,50,eucl,0.3,bm25,rfc,0.7216666666666667
bitext,50,eucl,0.3,bm25,xgc,0.905
bitext,50,eucl,0.3,bm25,nnc,0.92
bitext,50,sil,0.3,tfidf,rfc,0.755
bitext,50,sil,0.3,tfidf,xgc,0.9766666666666667
bitext,50,sil,0.3,tfidf,nnc,0.985
bitext,50,sil,0.3,count,rfc,0.8116666666666666
bitext,50,sil,0.3,count,xgc,0.9666666666666667
bitext,50,sil,0.3,count,nnc,0.9666666666666667
bitext,50,sil,0.3,bm25,rfc,0.7283333333333334
bitext,50,sil,0.3,bm25,xgc,0.97
bitext,50,sil,0.3,bm25,nnc,0.9766666666666667
bitext,50,eucl,0.4,tfidf,rfc,0.615
bitext,50,eucl,0.4,tfidf,xgc,0.8583333333333333
bitext,50,eucl,0.4,tfidf,nnc,0.86
bitext,50,eucl,0.4,count,rfc,0.665
bitext,50,eucl,0.4,count,xgc,0.8816666666666667
bitext,50,eucl,0.4,count,nnc,0.8833333333333333
bitext,50,eucl,0.4,bm25,rfc,0.6933333333333334
bitext,50,eucl,0.4,bm25,xgc,0.88
bitext,50,eucl,0.4,bm25,nnc,0.8683333333333333
bitext,50,sil,0.4,tfidf,rfc,0.7116666666666667
bitext,50,sil,0.4,tfidf,xgc,0.9366666666666666
bitext,50,sil,0.4,tfidf,nnc,0.9516666666666667
bitext,50,sil,0.4,count,rfc,0.7716666666666666
bitext,50,sil,0.4,count,xgc,0.955
bitext,50,sil,0.4,count,nnc,0.9383333333333334
bitext,50,sil,0.4,bm25,rfc,0.7
bitext,50,sil,0.4,bm25,xgc,0.93
bitext,50,sil,0.4,bm25,nnc,0.9333333333333333
bitext,50,eucl,0.5,tfidf,rfc,0.6833333333333333
bitext,50,eucl,0.5,tfidf,xgc,0.8633333333333333
bitext,50,eucl,0.5,tfidf,nnc,0.87
bitext,50,eucl,0.5,count,rfc,0.6433333333333333
bitext,50,eucl,0.5,count,xgc,0.8616666666666667
bitext,50,eucl,0.5,count,nnc,0.8566666666666667
bitext,50,eucl,0.5,bm25,rfc,0.5916666666666667
bitext,50,eucl,0.5,bm25,xgc,0.85
bitext,50,eucl,0.5,bm25,nnc,0.8766666666666667
bitext,50,sil,0.5,tfidf,rfc,0.65
bitext,50,sil,0.5,tfidf,xgc,0.895
bitext,50,sil,0.5,tfidf,nnc,0.905
bitext,50,sil,0.5,count,rfc,0.7116666666666667
bitext,50,sil,0.5,count,xgc,0.9216666666666666
bitext,50,sil,0.5,count,nnc,0.9283333333333333
bitext,50,sil,0.5,bm25,rfc,0.6383333333333333
bitext,50,sil,0.5,bm25,xgc,0.9066666666666666
bitext,50,sil,0.5,bm25,nnc,0.9233333333333333
